Serialized Counts by UPC,,1,,,,,,Scan Each mobile phone UPC below the red box,NOTE: Clear scans before starting new scan
ITEM_NUMBER,DESCRIPTION,UPC,Count ,,,,,,
M10001A,IPHONE XS MAX 64GB SPACE GRAY (SIM-FREE),190198786029,0,,,,,Start Scans HERE,
M10001B,CERTIFIED PRE-OWNED IPHONE XS MAX 64GB SPACE GRAY,850041722009,0,,,,,195950051629,
M10002A,IPHONE XS MAX 256GB SPACE GRAY (SIM-FREE),190198786081,0,,,,,195950051629,
M10002B,CERTIFIED PRE-OWNED IPHONE XS MAX 256GB SPACE GRAY,850041722016,0,,,,,195950051629,
M10004A,IPHONE XS MAX 64GB GOLD (SIM-FREE),190198786067,0,,,,,195950051629,
M10004B,CERTIFIED PRE-OWNED IPHONE XS MAX 64GB GOLD,850041722023,0,,,,,195949820939,
M10005A,IPHONE XS MAX 256GB GOLD (SIM-FREE),190198786128,0,,,,,195949820953,
M10005B,CERTIFIED PRE-OWNED IPHONE XS MAX 256GB GOLD,850041722030,0,,,,,810006549522,
M10010A,IPHONE XS 64GB SPACE GRAY (SIM-FREE),190198790392,0,,,,,810006549874,
M10010B,CERTIFIED PRE-OWNED IPHONE XS 64GB SPACE GRAY,850041722047,0,,,,,M10396B,
M10011A,IPHONE XS 256GB SPACE GRAY (SIM-FREE),190198790514,0,,,,,195949035012,
M10011B,CERTIFIED PRE-OWNED IPHONE XS 256GB SPACE GRAY,850041722054,0,,,,,195949017681,
M10013A,IPHONE XS 64GB GOLD (SIM-FREE),190198790477,0,,,,,195949035128,
M10013B,CERTIFIED PRE-OWNED IPHONE XS 64GB GOLD,850041722061,0,,,,,195949035142,
M10014A,IPHONE XS 256GB GOLD (SIM-FREE),190198790590,0,,,,,194252697474,
M10014B,CERTIFIED PRE-OWNED IPHONE XS 256GB GOLD,850041722078,0,,,,,195950146752,
M10023A,IPHONE XR 64GB BLACK (SIM-FREE),190198776402,0,,,,,195950146745,
M10023B,CERTIFIED PRE-OWNED IPHONE XR 64GB BLACK,190198776402B,0,,,,,195950146745,
M10024A,IPHONE XR 128GB BLACK (SIM-FREE),190198776525,0,,,,,195949245244,
M10024B,CERTIFIED PRE-OWNED IPHONE XR 128GB BLACK,190198776525B,0,,,,,195949245541,
M10032A,IPHONE XR 64GB (PRODUCT)RED (SIM-FREE),190198776440,0,,,,,887276916705,
M10032B,CERTIFIED PRE-OWNED IPHONE XR 64GB (PRODUCT)RED (RENEWED - UNLOCKED),190198776440CPO,0,,,,,887276916774,
M10033A,IPHONE XR 128GB (PRODUCT)RED (SIM-FREE),190198776563,0,,,,,887276907123,
M10033B,CERTIFIED PRE-OWNED IPHONE XR 128GB (PRODUCT)RED,190198776563B,0,,,,,887276916774,
M10035A,IPHONE XR 64GB WHITE (SIM-FREE),190198776426,0,,,,,887276916774,
M10035B,CERTIFIED PRE-OWNED IPHONE XR 64GB WHITE,190198776426B,0,,,,,887276915982,
M10036A,IPHONE XR 128GB WHITE (SIM-FREE),190198776549,0,,,,,887276914329,
M10036B,CERTIFIED PRE-OWNED IPHONE XR 128GB WHITE,190198776549B,0,,,,,887276914114,
M10047A,IPHONE 8 64GB SPACE GRAY (SIM-FREE),190198451736,0,,,,,887276894850,
M10047B,CERTIFIED PRE-OWNED IPHONE 8 64GB SPACE GRAY (RENEWED - UNLOCKED),190198451736CPO,0,,,,,887276894850,
M10049A,IPHONE 8 64GB GOLD (SIM-FREE),190198451835,0,,,,,840023291371,
M10049B,CERTIFIED PRE-OWNED IPHONE 8 64GB GOLD (RENEWED - UNLOCKED),190198451835CPO,0,,,,,887276989211,
M10061A,IPHONE 7 32GB BLACK (SIM-FREE),190198066473,0,,,,,887276989211,
M10067A,IPHONE 7 32GB SILVER (SIM-FREE),190198066497,0,,,,,887276989211,
M10069A,GALAXY S10+ 128 GB BLACK (SIM-FREE),8801643621377,0,,,,,887276929040,
M10069B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S10+ 128 GB BLACK,850041722085,0,,,,,887276783864,
M10072A,GALAXY S10 128GB BLACK (SIM-FREE),8801643622510,0,,,,,887276837352,
M10072B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S10 128GB BLACK,850041722092,0,,,,,887276817682,
M10075A,GALAXY S10E 128GB BLACK (SIM-FREE),8801643625818,0,,,,,887276912882,
M10075B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S10E 128GB BLACK,850041722108,0,,,,,840023271144,
M10078A,GALAXY S9 64GB BLACK (SIM-FREE),8801643164669,0,,,,,840023264238,
M10078B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S9 64GB BLACK,850041722115,0,,,,,840023277085,
M10079A,MOTO G7 PLAY 32GB DEEP INDIGO,723755135369,0,,,,,840023277085,
M10080A,MOTO E6 16GB BLACK,723755135390,0,,,,,840023277085,
M10082A,NOTE 10 BLACK 256GB,887276385075,0,,,,,840023277085,
M10082B,CERTIFIED PRE-OWNED SAMSUNG GALAXY NOTE 10 BLACK 256GB,850041722122,0,,,,,840023277085,
M10083A,NOTE 10+ BLACK 256GB,887276385013,0,,,,,840023277085,
M10083B,CERTIFIED PRE-OWNED SAMSUNG GALAXY NOTE 10+ BLACK 256GB,850041722139,0,,,,,840023277085,
M10084A,A10E 32GB CHARCOAL BLACK (SIM-FREE),8806090091384,0,,,,,840023277085,
M10085A,A20 32GB BLACK (SIM-FREE),8806090116520,0,,,,,840023277085,
M10086A,IPHONE 11 PRO MAX 64GB SPACE GRAY (SIM-FREE) - MIN ORDER QTY 100,190199380677,0,,,,,840023277085,
M10086B,CERTIFIED PRE-OWNED IPHONE 11 PRO MAX 64GB SPACE GRAY,850041722146,0,,,,,,
M10087A,IPHONE 11 PRO MAX 256GB SPACE GRAY (SIM-FREE) - MIN ORDER QTY 100,190199380752,0,,,,,,
M10087B,CERTIFIED PRE-OWNED IPHONE 11 PRO MAX 256GB SPACE GRAY,850041722153,0,,,,,,
